"year","month","day","mean_PM","median_PM","n","date","monthdate"
2012,1,1,112.5,112.5,6,2012-01-01,2018-01-01
2012,1,2,47.6666666666667,43,6,2012-01-02,2018-01-02
2012,1,3,74,56,6,2012-01-03,2018-01-03
2012,1,4,73.6666666666667,71.5,6,2012-01-04,2018-01-04
2012,1,5,53,53,5,2012-01-05,2018-01-05
2012,1,6,43.3333333333333,43,6,2012-01-06,2018-01-06
2012,1,7,41.8333333333333,43,6,2012-01-07,2018-01-07
2012,1,8,26.1666666666667,26,6,2012-01-08,2018-01-08
2012,1,9,48.1666666666667,50,6,2012-01-09,2018-01-09
2012,1,10,87.8333333333333,87.5,6,2012-01-10,2018-01-10
2012,1,11,139.333333333333,136.5,6,2012-01-11,2018-01-11
2012,1,12,48.5,44.5,6,2012-01-12,2018-01-12
2012,1,13,81.3333333333333,83,6,2012-01-13,2018-01-13
2012,1,14,68.5,74,6,2012-01-14,2018-01-14
2012,1,15,34.1666666666667,28.5,6,2012-01-15,2018-01-15
2012,1,16,24.8333333333333,25.5,6,2012-01-16,2018-01-16
2012,1,17,29,29,6,2012-01-17,2018-01-17
2012,1,18,33.3333333333333,30.5,6,2012-01-18,2018-01-18
2012,1,19,118.666666666667,115.5,6,2012-01-19,2018-01-19
2012,1,20,130.666666666667,132.5,6,2012-01-20,2018-01-20
2012,1,21,62.3333333333333,61.5,6,2012-01-21,2018-01-21
2012,1,22,31.5,26.5,6,2012-01-22,2018-01-22
2012,1,23,66.3333333333333,57.5,6,2012-01-23,2018-01-23
2012,1,24,63.6666666666667,62,6,2012-01-24,2018-01-24
2012,1,25,125.666666666667,126.5,6,2012-01-25,2018-01-25
2012,1,26,42.5,44,6,2012-01-26,2018-01-26
2012,1,27,54.1666666666667,56.5,6,2012-01-27,2018-01-27
2012,1,28,39.6666666666667,35,6,2012-01-28,2018-01-28
2012,1,29,31.6666666666667,24,6,2012-01-29,2018-01-29
2012,1,30,57.8333333333333,54.5,6,2012-01-30,2018-01-30
2012,1,31,74.6666666666667,70,6,2012-01-31,2018-01-31
2012,2,1,61.1666666666667,70.5,6,2012-02-01,2018-02-01
2012,2,2,28,29,5,2012-02-02,2018-02-02
2012,2,3,40.5,39,6,2012-02-03,2018-02-03
2012,2,4,40.3333333333333,39.5,6,2012-02-04,2018-02-04
2012,2,5,61.5,62,6,2012-02-05,2018-02-05
2012,2,6,45,31.5,6,2012-02-06,2018-02-06
2012,2,7,75.8333333333333,45,6,2012-02-07,2018-02-07
2012,2,8,44.6666666666667,42,6,2012-02-08,2018-02-08
2012,2,9,74.3333333333333,75,6,2012-02-09,2018-02-09
2012,2,10,68.3333333333333,61.5,6,2012-02-10,2018-02-10
2012,2,11,101.666666666667,102.5,6,2012-02-11,2018-02-11
2012,2,12,25.1666666666667,22,6,2012-02-12,2018-02-12
2012,2,13,82.1666666666667,79.5,6,2012-02-13,2018-02-13
2012,2,14,87.1666666666667,82.5,6,2012-02-14,2018-02-14
2012,2,15,34.6666666666667,36,6,2012-02-15,2018-02-15
2012,2,16,23,23,6,2012-02-16,2018-02-16
2012,2,17,56.1666666666667,62,6,2012-02-17,2018-02-17
